Corpus, Filename, Utterance number, Clause number, Location of clause start, Location of clause end,Speaker, Clause, Matrix (verb) language, Linguality of clause, Linguality of utterance, Dependent variable, Verb morphology, AoA minority language, AoA majority language, Mother's language, Father's language, Parental input,Primary school language,Secondary school language, Language of education, Identity, Social network
"Siarad","davies14","249","1","1","5","FRE","mae yr esgob yn pregethu ","cym","monoW","monoW","www","be.V.3S.PRES=preach.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","252","1","1","3","GWA","dweud y cwbl ","cym","monoW","monoW","www","say.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","254","1","1","4","FRE","mae o yn dda ","cym","monoW","monoW","www","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","255","1","1","3","GWA","yeah ond timod ","cym","biling","biling","wbb","know.V.2S.PRES.SPOKEN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","256","1","1","5","GWA","na mae nhw rhy ifanc ","cym","monoW","monoW","www","be.V.3S.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","258","1","1","3","GWA","dw i meddwl ","cym","monoW","monoW","www","be.V.1S.PRES.SPOKEN=think.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","259","1","1","5","FRE","yeah dw i yn sure ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","259","2","6","9","FRE","fydd o yn ddiddorol ","cym","monoW","biling","wwb","be.V.3S.FUT+SM","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","261","1","1","4","FRE","fydd o yn orlawn ","cym","monoW","monoW","www","be.V.3S.FUT+SM","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","262","1","1","5","GWA","oh fydd o yn orlawn ","cym","biling","biling","wbb","be.V.3S.FUT+SM","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","263","1","1","7","GWA","wnawn nhw ddim yng ngholli fi de ","cym","monoW","monoW","www","do.V.1S.IMPERF+SM[or]do.V.1P.PRES+SM=lose.V.INFIN+NM","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","265","1","1","7","FRE","oh na byth yn wneud hynny te ","cym","biling","biling","wbb","make.V.INFIN+SM","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","271","1","1","3","FRE","mynd yn wyllt ","cym","monoW","monoW","www","go.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","479","1","1","3","FRE","er oedd o ","cym","biling","biling","wbb","be.V.3S.IMPERF","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","479","2","4","12","FRE","oedden ni yn sôn am yr club pêl_droed Arsenal ","cym","biling","biling","wbb","be.V.3P.IMPERF.SPOKEN=mention.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","481","1","1","2","FRE","mae er ","cym","biling","biling","wbb","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","481","2","3","7","FRE","mae o er a Tudor ","cym","biling","biling","wbb","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","484","1","1","11","FRE","a Rupert a fy mab i a finnau yn dilyn Arsenal ","cym","biling","biling","wbb","follow.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","490","1","1","2","FRE","mae ymson ","cym","monoW","monoW","www","be.V.3S.PRES=soliloquise.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","497","1","1","3","GWA","dw i yma ","cym","monoW","monoW","www","be.V.1S.PRES.SPOKEN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","498","1","1","3","GWA","well ti gwybod ","cym","biling","biling","wbb","know.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","499","1","1","5","GWA","mae o bob amser a_ha ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","500","1","1","5","GWA","na mae hynna yn wir ","cym","monoW","monoW","www","be.V.3S.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","502","1","1","13","FRE","well er tua mis yn_ôl oedd o yn cael gair efo yr esgob ","cym","biling","biling","wbb","be.V.3S.IMPERF=have.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","504","1","1","1","GWA","oedd ","cym","monoW","monoW","www","be.V.3S.IMPERF","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","504","2","2","5","GWA","dw i yn gwybod ","cym","monoW","monoW","www","be.V.1S.PRES.SPOKEN=know.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","506","1","1","7","GWA","yeah mae yn sure bod yna rhyw ","cym","biling","biling","wbb","be.V.3S.PRES=be.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","511","1","1","8","GWA","Bryn_Llifon yeah oedd o ddim yn hapus o_gwbl ","cym","biling","biling","wbb","be.V.3S.IMPERF","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","513","1","1","2","GWA","bod um ","cym","biling","biling","wbb","be.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","514","1","1","5","FRE","oedd er yr er baptise_iad ","cym","biling","biling","wbb","be.V.3S.IMPERF","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","514","2","6","8","FRE","yn cymryd drosodd ","cym","monoW","biling","wwb","take.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","514","3","9","10","FRE","meddai fo ","cym","monoW","biling","wwb","say.V.3S.IMPERF","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","515","1","1","7","FRE","a mae rhaid i er rhywun er ","cym","biling","biling","wbb","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","516","1","1","12","GWA","na well dim yeah oedd o isio gweld yr esgob am hynny ","cym","biling","biling","wbb","be.V.3S.IMPERF=see.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","517","1","1","18","GWA","ond hefyd oedd o wedi cael ryw syniad i 'w ben bod vicar Bangor yn er yn Gatholig ","cym","biling","biling","wbb","be.V.3S.IMPERF=have.V.INFIN=be.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","520","1","1","5","FRE","dw i yn cofio hynna ","cym","monoW","monoW","www","be.V.1S.PRES.SPOKEN=remember.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","521","1","1","1","FRE","oedd ","cym","monoW","monoW","www","be.V.3S.IMPERF","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","523","1","1","2","FRE","yeah methu ","cym","biling","biling","wbb","fail.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","523","2","3","3","FRE","cysgu ","cym","monoW","biling","wwb","sleep.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","523","3","4","8","FRE","yn meddwl am y peth ","cym","monoW","biling","wwb","think.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","731","1","1","11","GWA","be sy gynno nhw ar y gweill ar hyn o bryd ","cym","monoW","monoW","www","which_is.V.3SP.PRES.REL","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","743","1","1","11","FRE","ond um fyddan ni yn canu oh hanner dwsin iddyn nhw ","cym","biling","biling","wbb","be.V.3P.FUT.SPOKEN+SM=sing.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","743","2","12","21","FRE","dw i yn sure o yr hen ffefryn ac yn ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","744","1","1","6","GWA","fyddan nhw yn canu efo chi ","cym","monoW","monoW","www","be.V.3P.FUT.SPOKEN+SM=sing.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","745","1","1","5","FRE","well dw i ddim yn ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","745","2","6","11","FRE","es i ddim yn efo nhw ","cym","monoW","biling","wwb","go.V.1S.PAST.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","746","1","1","8","GWA","na na fyddan nhw yn canu efo yr ","cym","monoW","monoW","www","be.V.3P.FUT.SPOKEN+SM=sing.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","747","1","1","3","FRE","os oes yna ","cym","monoW","monoW","www","be.V.3S.PRES.INDEF[or]age.N.F.SG","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","748","1","1","3","GWA","ydyn nhw yn ","cym","monoW","monoW","www","be.V.3P.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","748","2","4","7","GWA","ydyn nhw yn bethau ","cym","monoW","monoW","www","be.V.3P.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","748","3","8","12","GWA","fyddan nhw yn ei wybod ","cym","monoW","monoW","www","be.V.3P.FUT.SPOKEN+SM=know.V.INFIN+SM","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","749","1","1","6","GWA","neu fyddan nhw yn medru darllen ","cym","monoW","monoW","www","be.V.3P.FUT.SPOKEN+SM=be.V.INFIN=read.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","749","2","7","7","GWA","timod ","cym","monoW","monoW","www","know.V.2S.PRES.SPOKEN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","751","1","1","4","FRE","fydd dy ffefryn di ","cym","monoW","monoW","www","be.V.3S.FUT+SM","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","751","2","5","8","FRE","yn troi fyny de ","cym","monoW","monoW","www","turn.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","754","1","1","4","FRE","byddan nhw yn sure ","cym","biling","biling","wbb","be.V.3P.FUT.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","754","2","5","8","FRE","o gofyn am hwnnw ","cym","monoW","biling","wwb","ask.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","759","1","1","6","FRE","oh sôn am Glory_Glory_Hallelujah and Hush_little_baby_don't_you_cry ","cym","biling","biling","wbb","mention.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","760","1","1","4","FRE","rheina wedi cael eu ","cym","monoW","monoW","www","have.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","762","1","1","4","FRE","mae yn right fodern ","cym","biling","biling","wbb","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","763","1","1","2","FRE","ond mae ","cym","monoW","monoW","www","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","763","2","3","6","FRE","mae yn dda iawn ","cym","monoW","monoW","www","be.V.3S.PRES","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","764","1","1","5","FRE","yn licio hwnna fy hun ","cym","monoW","monoW","www","like.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","776","1","1","6","GWA","oh dylanwad Joseph ydy hwnna ynde ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","778","1","1","7","GWA","y math o beth mae o licio ","cym","monoW","monoW","www","be.V.3S.PRES=like.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","778","2","8","9","GWA","ydy hwnna ","cym","monoW","monoW","www","be.V.3S.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","803","1","1","14","GWA","oh mae yn handy cael bobl fel yna yn bobl newydd i_fewn o hyd ","cym","biling","biling","wbb","be.V.3S.PRES=have.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","803","2","15","15","GWA","tydy ","cym","monoW","biling","wwb","be.V.3S.PRES.NEG","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","818","1","1","3","GWA","dipyn o grafu ","cym","monoW","monoW","www","scratch.V.INFIN+SM","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","819","1","1","5","GWA","yeah club yn mynd ymlaen ","cym","biling","biling","wbb","go.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies17","131","1","1","19","GLA","roedd y sefyllfa yn yn Lloegr yn yn wahanol i yr gwasaneth i yr sefyllfa yn er yng Nghymru ","cym","biling","biling","wbb","be.V.3S.IMPERF.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","132","1","1","11","GLA","um roedd yna fwy o capelwyr yn yng Nghymru um nag ","cym","biling","biling","wbb","be.V.3S.IMPERF.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","132","2","12","16","GLA","oedd yn um yn Lloegr ","cym","biling","biling","wbb","be.V.3S.IMPERF","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","161","1","1","3","GLA","oh mae yna ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","161","2","4","14","GLA","mae yna dolen cryf wrth wrth_gwrs rwng Cymru a a Lerpwl ","cym","monoW","biling","wwb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","163","1","1","11","GLA","um ac y roedd Lerpwl isio um cynnal um yr Eisteddfod ","cym","biling","biling","wbb","be.V.3S.IMPERF.SPOKEN=support.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","176","1","1","9","GLA","neu fel fel rywbeth sy sydd sydd yn marw ","cym","monoW","monoW","www","which_is.V.3SP.PRES.REL=die.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","185","1","1","11","ROB","a dim ond mewn gwersi Saesneg neu wrth siarad efo Saeson ","cym","monoW","biling","wwb","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","185","2","12","14","ROB","mae nhw yn ","cym","monoW","biling","wwb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","185","3","15","15","ROB","mae ","cym","monoW","biling","wwb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","185","4","16","20","ROB","mae lot o Gymry cymraeg ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","185","5","21","23","ROB","yn siarad Saesneg ","cym","monoW","biling","wwb","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","187","1","1","4","ROB","a dyn nhw byth ","cym","monoW","biling","wwb","man.N.M.SG[or]draw.V.3S.PRES+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","187","2","5","8","ROB","yn wneud fel arall ","cym","monoW","biling","wwb","make.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","187","3","9","10","ROB","sy yn ","cym","monoW","biling","wwb","which_is.V.3SP.PRES.REL","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","187","4","11","14","ROB","sy yn syndod really ","cym","biling","biling","wbb","which_is.V.3SP.PRES.REL","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","188","1","1","8","ROB","a wrth_gwrs mae nhw yn glywed lot oherwydd ","cym","biling","biling","wbb","be.V.3S.PRES=hear.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","188","2","9","11","ROB","teledu a radio ","cym","biling","biling","wbb","televise.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","188","3","12","13","ROB","a ballu ","cym","monoW","biling","wwb","refuse.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","189","1","1","5","ROB","ond dyn nhw ddim actually ","cym","biling","biling","wbb","man.N.M.SG[or]draw.V.3S.PRES+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","189","2","6","8","ROB","yn mynd ati ","cym","monoW","biling","wwb","go.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","189","3","9","11","ROB","i siarad o ","cym","monoW","biling","wwb","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","190","1","1","7","ROB","achos dyna yr sefyllfa efo Glyn yn_de ","","biling","biling","","","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","190","2","8","11","ROB","bod o just ddim ","cym","biling","biling","wbb","be.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","190","3","12","13","ROB","wedi arfer ","cym","monoW","biling","wwb","use.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","190","4","14","15","ROB","siarad Saesneg ","cym","monoW","biling","wwb","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","193","1","1","3","ROB","oedd o yn ","cym","monoW","monoW","www","be.V.3S.IMPERF","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","193","2","4","12","ROB","oedd o yn coblyn o beth yn_doedd diddorol felly ","cym","monoW","monoW","www","be.V.3S.IMPERF","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","195","1","1","18","GLA","a hyd_yn_oed ar_ôl blwyddyn yn um yn y Big_Brother house um mae Gymraeg yn yn dal yn well ","cym","biling","biling","wbb","be.V.3S.PRES=hold.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","196","1","1","5","ROB","oh yndy well o lawer ","cym","biling","biling","wbb","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","197","1","1","6","GLA","um na ei na ei Saesneg ","cym","biling","biling","wbb","her.ADJ.POSS[or]his.ADJ.POSS[or]go.V.2S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","198","1","1","1","ROB","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","199","1","1","9","GLA","mae o yn dal i stryglo efo efo Saesneg ","cym","monoW","monoW","www","be.V.3S.PRES=hold.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","200","1","1","1","ROB","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","201","1","1","1","ROB","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","201","2","2","2","ROB","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","203","1","1","8","GLA","mae o yn hollol fwy rhugl mewn Cymraeg ","cym","monoW","monoW","www","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","226","1","1","5","GLA","well mae rai ohonynt yn ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","226","2","6","10","GLA","yn poeni am am pethau ","cym","monoW","biling","wwb","worry.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","348","1","1","8","GLA","um mae hi yn deud tin bwyd bob ","cym","biling","biling","wbb","be.V.3S.PRES=say.V.INFIN.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","348","2","9","9","GLA","tro ","cym","monoW","biling","wwb","turn.N.M.SG[or]turn.V.2S.IMPER","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","356","1","1","3","GLA","a mae yn ","cym","monoW","monoW","www","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","356","2","4","9","GLA","mae yn siarad am am popo ","cym","monoW","monoW","www","be.V.3S.PRES=talk.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","361","1","1","7","ROB","ond ti yn siarad Saesneg efo hi ","cym","monoW","biling","wwb","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","361","2","8","9","ROB","mae sure ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","365","1","1","4","ROB","ond mae yn anodd ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","365","2","5","5","ROB","dydy ","cym","monoW","monoW","www","be.V.3S.PRES.NEG.SPOKEN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","366","1","1","14","ROB","oedden ni siarad am hyn yn y diwrnod o blaen efo Gill a Ffion ","cym","biling","biling","wbb","be.V.3P.IMPERF.SPOKEN=talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","367","1","1","8","ROB","achos mae nhw yn gael hi yn anodd ","cym","monoW","monoW","www","be.V.3S.PRES=have.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","367","2","9","12","ROB","siarad Cymraeg efo ei_gilydd ","cym","monoW","monoW","www","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","1","1","10","ROB","um achos am ryw reswm dw ddim yn sure be ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","2","11","14","ROB","be oedd o felly ","cym","monoW","biling","wwb","be.V.3S.IMPERF","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","3","15","20","ROB","ond wnaeth nhw benderfynu blwyddyn dwytha ","cym","monoW","biling","wwb","do.V.3S.PAST+SM=decide.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","4","21","24","ROB","bod nhw am drio ","cym","monoW","biling","wwb","be.V.INFIN=try.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","5","25","28","ROB","siarad Cymraeg efo ei_gilydd ","cym","monoW","biling","wwb","talk.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","6","29","34","ROB","ond bod nhw just wedi methu ","cym","biling","biling","wbb","be.V.INFIN=fail.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","7","35","37","ROB","wneud achos hen ","cym","monoW","biling","wwb","make.V.INFIN+SM","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","369","8","38","39","ROB","arfer yn_de ","cym","monoW","biling","wwb","use.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","372","1","1","9","GLA","well mae Ffion a fi yn yn um er ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","372","2","10","13","GLA","siarad Cymraeg er weithiau ","cym","biling","biling","wbb","talk.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","375","1","1","12","GLA","um um dan ni ar yr un er yr un er pwyllgor ","cym","biling","biling","wbb","be.V.1P.PRES.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","378","1","1","4","GLA","oh be ydy enw ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","383","1","1","13","GLA","um ac um a dw i ar y er ar y pwyllgor hefyd ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","384","1","1","8","GLA","um ac um dan ni yn siarad Cymraeg ","cym","biling","biling","wbb","be.V.1P.PRES.SPOKEN=talk.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","384","2","9","16","GLA","pan dan ni yn mewn cyfarfod er pethau ","cym","biling","biling","wbb","be.V.1P.PRES.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","386","1","1","4","ROB","oh mae yn odd ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","386","2","5","5","ROB","tydy ","cym","monoW","biling","wwb","be.V.3S.PRES.NEG","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","387","1","1","6","ROB","dw i yn cael yr un ","cym","monoW","monoW","www","be.V.1S.PRES.SPOKEN=have.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","388","1","1","2","GLA","so mae ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","388","2","3","6","GLA","mae yn yn odd ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","389","1","1","16","ROB","dw i yn cael yr un peth y ffordd arall efo hen boss fi fan hyn ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN=have.V.INFIN","3","1","2","2","2","2","0","1","4","3"
