"corpus","filename","utterance_id","clause_no","speaker","clause","comments","matrix_lg","linguality","dv","aoa_min","aoa_maj","moth_lg","fath_lg","parental","primary_lg","secondary_lg","educ_lg","identity","contact1","contact2","contact3","contact4","contact5","soc_net"
"Siarad","davies1",258,1,"NON","mae isie ti just cael fel recharge_io yr batteries hefyd",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",260,1,"SAR","os gaethen i couple o shifts yn G_E",,"cym","biling","wb",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",260,1,"SAR","basai hwnna yn good","h","cym","biling","wb",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",261,1,"SAR","basai",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",262,1,"SAR","pam fi yn gweud basai",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",268,1,"NON","fi credu unwaith a i adre","see earlier notes","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",268,2,"NON","bydda i yn iawn",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",272,1,"NON","dim Iest yw e though",,"cym","biling","wb",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",273,1,"NON","mae pawb arall",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",277,1,"SAR","achos oedd e yn haws na gorfod ail_ddeud popeth",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",280,1,"NON","oh ydy",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",280,2,"NON","mae pawb arall yn deall",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",478,1,"SAR","yeah wedyn oedd pythefnos",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",478,2,"SAR","a oedd wythnos ddarllen",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",481,1,"SAR","so hwnna yw yr trydydd",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",484,1,"NON","un waith fwy na fi ti wedi bod",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",484,2,"NON","twel","discourse marker: treat like 'timod' and don't count as finite unless it has object?","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",486,1,"NON","o'n i meddwl",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",486,2,"NON","bod ti wedi bod adre lot mwy na fi",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",486,3,"NON","twel","see above","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",489,1,"SAR","mae phone fi yn mynd",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",493,1,"SAR","does yna ddim_byd yna i dynnu fi gartre nawr",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",494,1,"SAR","pam dylsen i fynd","all one clause","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",494,2,"SAR","i fynd","q","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",496,1,"NON","mae o yn eitha hectic","two clauses","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",496,2,"NON","os ti mynd adre am ychydig o ddiwrnodau","h","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",497,1,"NON","ond bydd e wahanol i fi nawr achos",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",497,2,"NON","bydd dydd Gwener a dydd Llun i_ffwrdd gyda fi",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",500,1,"NON","bydd e",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",500,2,"NON","werth i fi",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",500,3,"NON","fynd adre",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",514,1,"NON","mae hi yn lovely",,"cym","biling","wb",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",515,1,"SAR","oedden nhw gweithio gyda fi yn G_E",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",515,2,"SAR","twel",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",516,1,"NON","oedd hi",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",517,1,"SAR","mae perthyn i fi",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",518,1,"SAR","a oedd hi yn gweithio gyda fi yn G_E",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",519,1,"SAR","a oedd hi yn chweched","two finite clauses, one main and one subordinate","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",519,2,"SAR","pryd o'n i yn blwyddyn deg","h","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",528,1,"SAR","achos oedd Elin hefyd yn chweched",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",546,1,"NON","oh mae hi yn lovely",,"cym","biling","wb",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",555,1,"NON","fi lawer mwy excited i i Queen's_Ball twel na pethau fel Clwb_Cymru a Occy",,"cym","biling","wb",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",564,1,"NON","yeah iawn oedd e yfe",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",729,1,"SAR","na byth couple o drinks ar_ôl practice",,"eng","biling","eb",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",733,1,"SAR","well timod well o'n i yn blentyn ysgol blwyddyn deg pryd hynny",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",734,1,"NON","ond timod",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",734,2,"NON","mae yn anodd","two finite clauses, one main and one subordinate","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",734,3,"NON","pan ti cael ymarferion fel yna bob nos","h","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",737,1,"SAR","sure mae mynd ymlaen amboutu mis cyn e","subordinate clause wrongly split","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",738,1,"NON","fi cofio cyfnod",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",738,2,"NON","twel o'n i",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",738,3,"NON","yn wneud um",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",738,4,"NON","mynd i ysgol bob dydd wedyn",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",738,5,"NON","oedd",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",738,6,"NON","oedd hi yn gyfnod steddfod ysgol",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",739,1,"NON","so oedd steddfod ysgol gyda ni ar ar_ôl practice ar_ôl ysgol",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",747,1,"NON","oedd e galed",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",749,1,"SAR","yeah oh ro't ti blwyddyn deg de","two finite clauses, one main and one subordinate","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",749,2,"SAR","de pryd o'n i yn wneud y panto","h","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",749,3,"SAR","oedd gyda fi novel tŷ yr un pryd",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",751,1,"SAR","ar_ôl hwnna wnes i sure o fod fflago",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",754,1,"NON","yeah mae yn hard_going",,"cym","biling","wb",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",754,2,"NON","twel",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",762,1,"SAR","oedd gwaith sgwennu lan beth",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",762,2,"SAR","oedd pawb wedi gweud a anfon hwnna",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",764,1,"NON","achos yn y cyfnod pan o'n i yn captain steddfod","subordinate clause inserted in main","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",764,1,"NON","oedd gyda ni fel um drama","h","cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",764,2,"NON","oedd Ffermwyr_Ifanc",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",766,1,"NON","a fel gyda drama ryw wyth person sy angen yno fe",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",770,1,"NON","a tibod mae nhw yn dewis yr aelodau hena",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",770,2,"NON","i wneud e",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",773,1,"NON","pan gyda rywbeth fel panto mae nhw yn trial wneud rywbeth",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",773,2,"NON","i gael yr aelodau gyd ynghlwm",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",773,3,"NON","â fe",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",775,1,"SAR","yndy",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",776,1,"SAR","well fel yna oedd Hanner_Awr_O_Adloniant",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",777,1,"NON","oh ydy",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",777,2,"NON","mae rhan i bawb fan yna yn_does",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",778,1,"SAR","mae fe eitha energetic thing i wneud",,"cym","biling","wb",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",779,1,"SAR","oh oedd gyda ni loads o dance_o a wneud hyn a rhedeg o fan hyn i llall a",,"cym","biling","wb",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",779,2,"SAR","a rhedeg o fan hyn i llall a","q","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies10",207,1,"HIL","un o Sir_Fôn yma wyt ti",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",259,1,"HIL","so mae hi yma ers blynyddoedd maith felly",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",275,1,"HIL","oh er Sir_Gaernarfon oedd rhieni fi yn dod",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",321,1,"HIL","nag oes",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",321,2,"HIL","mae sure",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",332,1,"MIC","nag oes",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",344,1,"MIC","nag oes",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",348,1,"MIC","yndy",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",348,2,"MIC","dydy","x","cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",351,1,"MIC","ydy",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",355,1,"HIL","oes mmm",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",359,1,"MIC","mae o",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",359,2,"MIC","dydy","x","cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",365,1,"CLE","oedden ni yn cerdded i_fyny i yr ysgol",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",367,1,"CLE","a ar ochr dde um fyddai gynno gaseg frown yno",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",368,1,"CLE","oedd o yn mynd pony a trap",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",371,1,"CLE","oedd o yn cario moch a ballu",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",371,2,"CLE","a ballu","q","cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",373,1,"CLE","byddai ryw",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",373,2,"CLE","byddai ryw fusiness felly gen ei daid o",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",381,1,"MIC","un o Gaerwen oedd ei dad o de",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",382,1,"CLE","Terry_Prys oedd er tad Emma Tyddyn_Drain",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",387,1,"MIC","un doniol oedd er Edgar",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",393,1,"HIL","yndw",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",394,1,"HIL","yndw",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",402,1,"MIC","mae job drwy yr dydd mynd round efo yr llefrith",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",403,1,"CLE","oh diwrnod pres de oedd hi non_stop",,"cym","biling","wb",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",405,1,"CLE","oedd",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",409,1,"MIC","oedd",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",409,2,"MIC","doedd","x","cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",410,1,"HIL","duwcs oedd",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",411,1,"CLE","oedd",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",412,1,"CLE","ew annwyl oedd",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",413,1,"HIL","oedd",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",414,1,"MIC","oedd",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",416,1,"HIL","oedd o yn ddawnus iawn",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",416,2,"HIL","doedd mewn nosweithiau llawen a pethau felly",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",660,1,"HIL","a dangos yr adar bach yma yn um",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",660,2,"HIL","timod","x","cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",660,3,"HIL","pan mae nhw yn mynd drosodd i felly i Africa",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",662,1,"HIL","a wedyn mae nhw",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",662,2,"HIL","mae Malta ar",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",662,3,"HIL","ei",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",662,4,"HIL","timod","x","cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",666,1,"HIL","wedyn mae nhw yn aros yn fan yna",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",668,1,"HIL","a mae",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",668,2,"HIL","mae nhw yna yn barod yn_de efo eu gynnau yn eu saethu nhw lawr",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",668,3,"HIL","eu saethu nhw lawr","q","cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",672,1,"HIL","gweilch_y_pysgod a timod rhai",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",715,1,"CLE","oh dw i ddim wedi bod yna ers ugain mlynedd Michael",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",716,1,"MIC","Duw does yna ddim_byd yni dim ond ryw",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",717,1,"MIC","mae wedi colli ei",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",718,1,"CLE","dw i yn cofio crew o hogiau rugby",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",721,1,"CLE","a oedd gen i bity dros pwy bynnag",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",721,2,"CLE","oedd yn rhedeg y stondin er",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",722,1,"CLE","dw i yn dal i bitio de",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",736,1,"MIC","glywais i nhad yn deud",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",736,2,"MIC","fyddai yna yr yr myfyrwyr o Brifysgol Bangor",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",741,1,"MIC","ac fyddai yna un yn mynd o_dan y stalls",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",741,2,"MIC","a rhwymo nhw yn ei_gilydd",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",747,1,"MIC","ac ar yr hen fuses ers_talwm oedd yna ddrws yn cefn a fath â ryw hen",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",748,1,"CLE","oedd yeah",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",756,1,"MIC","a fyddai yr stondins i_gyd yn mynd i_fyny yr stryd efo yr bus",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",766,1,"CLE","wn i ddim",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",766,2,"CLE","be sy yna ar_ôl o stondinau rŵan de",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",767,1,"MIC","yeah doedd yna toes yna ddim_byd ddim ond bwydydd a ryw dools",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",768,1,"MIC","pethau rubbish sy yna i fod yn honest",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",772,1,"CLE","ydy plant cael i_fewn",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",773,1,"MIC","mi gollodd hi mi",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",773,2,"MIC","aeth hi i_lawr ar_ôl i yr ceffylau fynd o o yr o yr sale yn_do",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",774,1,"CLE","do do sale oedd gynt","gloss should show past?","cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",774,2,"CLE","oedd gynt","q","cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",774,3,"CLE","oedd",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",774,4,"CLE","oedd",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",775,1,"CLE","dydy plant acw erioed wedi bod yno de",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",776,1,"MIC","oh naddo",,"cym","monoW","ww",1,2,1,1,1,1,2,1.5,4,1,1,4,1,4,2.2
"Siarad","davies10",781,1,"CLE","naddo erioed",,"cym","monoW","ww",1,2,1,1,1,2,2,2,1,1,1,1,1,1,1
"Siarad","davies10",789,1,"HIL","ew oedd diwrnod ffair Llanllyfni de",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",790,1,"HIL","bod o'n i yn hogan bach",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"Siarad","davies10",790,2,"HIL","fyddai yn ddiwrnod mawr",,"cym","monoW","ww",1,3,1,1,1,1,2,1.5,1,1,1,1,1,1,1
