"Corpus","Filename","Utterance number","Clause number","Location of clause start","Location of clause end","Speaker","Clause","Matrix (verb) language","Linguality of clause","Dependent variable","Linguality of utterance","Mari-Carmen variable","Verb morphology","AoA minority language","AoA majority language","Mother's language","Father's language","Parental input","Primary school language","Secondary school language","Language of education","Identity","Contact1","Contact2","Contact3","Contact4","Contact5","Social network"
"Siarad","davies14","499","1","1","5","GWA","mae o bob amser a_ha ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","500","1","1","5","GWA","na mae hynna yn wir ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","502","1","1","13","FRE","well er tua mis yn_ôl oedd o yn cael gair efo yr esgob ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=have.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","504","1","1","1","GWA","oedd ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","504","2","2","5","GWA","dw i yn gwybod ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN=know.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","506","1","1","7","GWA","yeah mae yn sure bod yna rhyw ","cym","monoW","ww","monoW","www","be.V.3S.PRES=be.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","511","1","1","8","GWA","Bryn_Llifon yeah oedd o ddim yn hapus o_gwbl ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","514","1","1","8","FRE","oedd er yr er baptise_iad yn cymryd drosodd ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=take.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","514","2","9","10","FRE","meddai fo ","cym","monoW","ww","monoW","www","say.V.3S.IMPERF","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","515","1","1","7","FRE","a mae rhaid i er rhywun er ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","516","1","1","12","GWA","na well dim yeah oedd o isio gweld yr esgob am hynny ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=see.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","517","1","1","18","GWA","ond hefyd oedd o wedi cael ryw syniad i 'w ben bod vicar Bangor yn er yn Gatholig ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=have.V.INFIN=be.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","520","1","1","5","FRE","dw i yn cofio hynna ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN=remember.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","521","1","1","1","FRE","oedd ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","522","1","1","6","GWA","felly argol oedd hi yn job ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","525","1","1","5","FRE","oedd o am sgwennu wir ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=write.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","731","1","1","11","GWA","be sy gynno nhw ar y gweill ar hyn o bryd ","cym","monoW","ww","monoW","www","which_is.V.3SP.PRES.REL","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","743","1","1","11","FRE","ond um fyddan ni yn canu oh hanner dwsin iddyn nhw ","cym","monoW","ww","monoW","www","be.V.3P.FUT.SPOKEN+SM=sing.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","743","2","12","21","FRE","dw i yn sure o yr hen ffefryn ac yn ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","744","1","1","6","GWA","fyddan nhw yn canu efo chi ","cym","monoW","ww","monoW","www","be.V.3P.FUT.SPOKEN+SM=sing.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","745","1","1","5","FRE","well dw i ddim yn ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","745","2","6","11","FRE","es i ddim yn efo nhw ","cym","monoW","ww","monoW","www","go.V.1S.PAST.SPOKEN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","746","1","1","8","GWA","na na fyddan nhw yn canu efo yr ","cym","monoW","ww","monoW","www","be.V.3P.FUT.SPOKEN+SM=sing.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","747","1","1","3","FRE","os oes yna ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF[or]age.N.F.SG","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","748","1","1","3","GWA","ydyn nhw yn ","cym","monoW","ww","monoW","www","be.V.3P.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","748","2","4","7","GWA","ydyn nhw yn bethau ","cym","monoW","ww","monoW","www","be.V.3P.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","748","3","8","12","GWA","fyddan nhw yn ei wybod ","cym","monoW","ww","monoW","www","be.V.3P.FUT.SPOKEN+SM=know.V.INFIN+SM","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","749","1","1","6","GWA","neu fyddan nhw yn medru darllen ","cym","monoW","ww","monoW","www","be.V.3P.FUT.SPOKEN+SM=be.V.INFIN=read.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","749","2","7","7","GWA","timod ","cym","monoW","ww","monoW","www","know.V.2S.PRES.SPOKEN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","751","1","1","8","FRE","fydd dy ffefryn di yn troi fyny de ","cym","monoW","ww","monoW","www","be.V.3S.FUT+SM=turn.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","754","1","1","8","FRE","byddan nhw yn sure o gofyn am hwnnw ","cym","monoW","ww","monoW","www","be.V.3P.FUT.SPOKEN=ask.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","762","1","1","4","FRE","mae yn right fodern ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","763","1","1","2","FRE","ond mae ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","763","2","3","6","FRE","mae yn dda iawn ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","766","1","1","6","FRE","ac um well ydan ni yn ","cym","monoW","ww","monoW","www","be.V.1P.PRES.SPOKEN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","766","2","7","14","FRE","ydan ni yn dysgu rhywfaint o bethau newydd ","cym","monoW","ww","monoW","www","be.V.1P.PRES.SPOKEN=teach.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","770","1","1","12","FRE","mae o fath â mynd i yr nef neu i yr nefoedd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=go.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","773","1","1","6","FRE","y nef sy yn datgan y ","cym","monoW","ww","monoW","www","which_is.V.3SP.PRES.REL=declare.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","776","1","1","6","GWA","oh dylanwad Joseph ydy hwnna ynde ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","778","1","1","7","GWA","y math o beth mae o licio ","cym","monoW","ww","monoW","www","be.V.3S.PRES=like.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","778","2","8","9","GWA","ydy hwnna ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","803","1","1","14","GWA","oh mae yn handy cael bobl fel yna yn bobl newydd i_fewn o hyd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=have.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","803","2","15","15","GWA","tydy ","cym","monoW","ww","monoW","www","be.V.3S.PRES.NEG","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","827","1","1","12","GWA","ond does gen dydyn nhw ddim yn mynd ar ryw daith eto ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF.NEG=go.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","834","1","1","4","GWA","mae nhw licio teithio ","cym","monoW","ww","monoW","www","be.V.3S.PRES=like.V.INFIN=travel.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies17","131","1","0","19","GLA","roedd y sefyllfa yn yn Lloegr yn yn wahanol i yr gwasaneth i yr sefyllfa yn er yng Nghymru ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF.SPOKEN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","132","1","1","11","GLA","um roedd yna fwy o capelwyr yn yng Nghymru um nag ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF.SPOKEN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","132","2","12","16","GLA","oedd yn um yn Lloegr ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","161","1","1","3","GLA","oh mae yna ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","161","2","4","14","GLA","mae yna dolen cryf wrth wrth_gwrs rwng Cymru a a Lerpwl ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","163","1","1","11","GLA","um ac y roedd Lerpwl isio um cynnal um yr Eisteddfod ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF.SPOKEN=support.V.INFIN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","176","1","1","9","GLA","neu fel fel rywbeth sy sydd sydd yn marw ","cym","monoW","ww","monoW","www","which_is.V.3SP.PRES.REL=die.V.INFIN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","184","1","1","9","ROB","mae wedi siarad Cymraeg adre drwy gydol ei oes ","cym","monoW","ww","monoW","www","be.V.3S.PRES=talk.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","184","2","10","15","ROB","timod ac yn yr ysgol hefyd ","cym","monoW","ww","monoW","www","know.V.2S.PRES.SPOKEN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","185","1","1","11","ROB","a dim ond mewn gwersi Saesneg neu wrth siarad efo Saeson ","cym","monoW","ww","monoW","www","talk.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","185","2","12","14","ROB","mae nhw yn ","cym","monoW","ww","monoW","www","be.V.3S.PRES","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","185","3","15","15","ROB","mae ","cym","monoW","ww","monoW","www","be.V.3S.PRES","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","185","4","16","23","ROB","mae lot o Gymry cymraeg yn siarad Saesneg ","cym","monoW","ww","monoW","www","be.V.3S.PRES=talk.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","187","1","1","4","ROB","a dyn nhw byth ","cym","monoW","ww","biling","wwb","man.N.M.SG[or]draw.V.3S.PRES+SM","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","187","2","5","8","ROB","yn wneud fel arall ","cym","monoW","ww","biling","wwb","make.V.INFIN+SM","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","187","3","9","10","ROB","sy yn ","cym","monoW","ww","biling","wwb","which_is.V.3SP.PRES.REL","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","187","4","11","14","ROB","sy yn syndod really ","cym","biling","wb","biling","wbb","which_is.V.3SP.PRES.REL","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","188","1","1","8","ROB","a wrth_gwrs mae nhw yn glywed lot oherwydd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=hear.V.INFIN+SM","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","188","2","9","11","ROB","teledu a radio ","cym","monoW","ww","monoW","www","televise.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","188","3","12","13","ROB","a ballu ","cym","monoW","ww","monoW","www","refuse.V.INFIN+SM","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","189","1","1","5","ROB","ond dyn nhw ddim actually ","cym","biling","wb","biling","wbb","man.N.M.SG[or]draw.V.3S.PRES+SM","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","189","2","6","8","ROB","yn mynd ati ","cym","monoW","ww","biling","wwb","go.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","189","3","9","11","ROB","i siarad o ","cym","monoW","ww","biling","wwb","talk.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","193","1","1","3","ROB","oedd o yn ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","193","2","4","12","ROB","oedd o yn coblyn o beth yn_doedd diddorol felly ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","195","1","1","18","GLA","a hyd_yn_oed ar_ôl blwyddyn yn um yn y Big_Brother house um mae Gymraeg yn yn dal yn well ","cym","biling","wb","biling","wbb","be.V.3S.PRES=hold.V.INFIN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","196","1","1","5","ROB","oh yndy well o lawer ","cym","monoW","ww","monoW","www","be.V.3S.PRES.EMPH","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","197","1","1","6","GLA","um na ei na ei Saesneg ","cym","monoW","ww","monoW","www","her.ADJ.POSS[or]his.ADJ.POSS[or]go.V.2S.PRES","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","198","1","1","1","ROB","yndy ","cym","monoW","ww","monoW","www","be.V.3S.PRES.EMPH","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","199","1","1","9","GLA","mae o yn dal i stryglo efo efo Saesneg ","cym","monoW","ww","monoW","www","be.V.3S.PRES=hold.V.INFIN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","200","1","1","1","ROB","yndy ","cym","monoW","ww","monoW","www","be.V.3S.PRES.EMPH","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","201","1","1","1","ROB","yndy ","cym","monoW","ww","monoW","www","be.V.3S.PRES.EMPH","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","201","2","2","2","ROB","yndy ","cym","monoW","ww","monoW","www","be.V.3S.PRES.EMPH","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","203","1","1","8","GLA","mae o yn hollol fwy rhugl mewn Cymraeg ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","226","1","1","10","GLA","well mae rai ohonynt yn yn poeni am am pethau ","cym","monoW","ww","monoW","www","be.V.3S.PRES=worry.V.INFIN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","348","1","1","8","GLA","um mae hi yn deud tin bwyd bob ","cym","monoW","ww","monoW","www","be.V.3S.PRES=say.V.INFIN.SPOKEN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","348","2","9","9","GLA","tro ","cym","monoW","ww","monoW","www","turn.N.M.SG[or]turn.V.2S.IMPER","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","356","1","1","3","GLA","a mae yn ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","356","2","4","9","GLA","mae yn siarad am am popo ","cym","monoW","ww","monoW","www","be.V.3S.PRES=talk.V.INFIN","5","4","4","4","4","4","4","4","3","2","4","4","1","1","2.4"
"Siarad","davies17","361","1","1","7","ROB","ond ti yn siarad Saesneg efo hi ","cym","monoW","ww","monoW","www","talk.V.INFIN","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
"Siarad","davies17","361","2","8","9","ROB","mae sure ","cym","monoW","ww","monoW","www","be.V.3S.PRES","3","1","3","3","3","3","2","2.5","4","4","4","4","4","4","4"
